"Gene"	"FC"	"FDR"	"pct.exp"
"94"	"DGKI"	0.437275032909686	1.45934353157786e-66	92.3572003218021
"95"	"DNAH9"	0.32249128950063	7.45712016606704e-14	46.8222043443282
"96"	"DOK5"	-0.32476326556996	1.14505788907987e-26	26.6559399302762
"97"	"DOK6"	0.308085972805493	5.0520406967125e-30	90.2386698846876
"98"	"DPP10"	-0.511120479839494	1.4820943691615e-53	89.3268972914991
"99"	"DPP6"	0.424846246453845	1.22431566938695e-68	96.969696969697
"100"	"DSCAML1"	0.552298153050838	4.37497139424555e-66	83.5076427996782
"101"	"DUSP5"	0.530264135199033	3.41365889963823e-34	51.5687851971038
"102"	"DYNC1H1"	0.30364140392458	3.35513659579505e-14	72.6468222043443
"103"	"EFNB2"	0.52714397907737	5.121159296546e-39	54.2504692947171
"104"	"EGR4"	0.336342269754435	1.06826180517405e-17	43.7650844730491
"105"	"ELL2"	-0.354418013370943	1.71474427606878e-18	49.3698042370609
"106"	"ELOVL5"	0.581413381945333	2.31001738208664e-36	60.5792437650845
"107"	"EPB41L3"	-0.426503817204685	2.54354399707805e-57	27.6749798873693
"108"	"EPB41L4A"	0.769808200421573	2.80776380374423e-80	51.220166264414
"109"	"EPHA4"	0.435092382120333	2.45624643307454e-45	89.0855457227139
"110"	"EPHA5"	0.783246771237457	5.49752572239177e-82	80.1823545186377
"111"	"EPHA7"	0.334779557781768	3.38705991987316e-16	62.1346205417002
"112"	"ERBB4"	-0.314300169079804	4.84332133999647e-19	53.7141324751944
"113"	"ESYT2"	0.508890537823152	1.92404904867259e-55	82.4081523196568
"114"	"ETV6"	0.38676124071905	1.74949787070044e-21	47.5998927326361
"115"	"EXT1"	0.838447978194338	4.2144186434081e-100	88.8978278358809
"116"	"FAM126A"	0.302099551108922	3.44924900617661e-10	65.1649235720032
"117"	"FAM19A1"	0.429811927404876	6.23848604680909e-62	95.5215875569858
"118"	"FAM19A2"	-0.551634467174587	1.14852330174392e-60	35.076427996782
"119"	"FAM19A5"	0.476047007664385	2.03490278244963e-37	68.6242960579244
"120"	"FARP1"	0.622430448980014	1.2203706932611e-66	75.596674711719
"121"	"FBXO33"	0.462223115306125	3.00941273089379e-26	63.7436310002682
"122"	"FHOD3"	-0.369231068778948	3.75348457131079e-20	55.8594797532851
"123"	"FNDC1"	0.511260699604119	1.64050714711533e-62	45.3472780906409
"124"	"FOSL2"	0.594351718964314	7.25728894701426e-48	56.8248860284258
"125"	"FRMD5"	-0.701392422497068	1.47916467809694e-71	56.0203807991419
"126"	"FUT8"	-0.300759050994182	1.24752443617688e-16	62.9927594529364
"127"	"FUT9"	-0.518472428980184	1.16237931561571e-70	33.6283185840708
"128"	"GABRG2"	0.384380167594201	1.76648802370329e-25	81.0673102708501
"129"	"GALNT18"	0.461935560721294	1.70351193714766e-56	86.6720300348619
"131"	"GAREM1"	0.811645863907154	2.16728262808795e-81	78.7342451059265
"132"	"GFOD1"	0.362199989073119	3.32894394309362e-29	76.1330115312416
"133"	"GMCL1"	0.607998892878583	2.77374845678125e-45	63.3950120675784
"134"	"GNA14"	0.507234266044037	3.94879414953623e-37	51.1933494234379
"135"	"GNAL"	0.474071359748495	6.13711352633715e-22	51.5419683561276
